떨어뜨리	492
가꾸	491
다치	488
헤매	487
깨지	486
풍기	486
마주치	482
물러나	481
새	479
기	473
기대	473
다투	473
쫓기	470
나뉘	469
삼키	468
얹	468
돌보	467
맛보	467
씹	466
달래	464
빼앗기	464
가져가	464
베	463
다스리	463
치우	461
늘어놓	459
오가	459
지나치	458
녹	458
당기	455
물어보	453
헤아리	452
빠져나가	451
다물	451
젓	451
얽히	450
가르	448
노리	445
번지	438
잊어버리	437
감싸	435
벗기	433
쫓	433
꼽	432
상하	431
꺼지	430
뒤집	430
다듬	429
주저앉	429
낮추	429
꽂	427
망하	423
넓히	422
살아남	421
깨어나	421
되찾	420
입히	420
주고받	419
메우	419
선보이	417
구르	416
내버리	415
일컫	414
흘러나오	412
가라앉	412
솟	412
떨치	412
뒤따르	409
끄	409
물리	407
해보	404
접	404
배	403
속이	403
짚	402
겹치	402
뜯	401
토하	401
닥치	398
끼우	398
굶	398
도망치	397
적히	396
드나들	394
사귀	392
엮	391
반하	391
떠돌	390
불러일으키	387
내주	386
책임지	383
나르	379
사로잡히	379
놀리	379
받치	376
갈라지	375
권하	374
찌	373
흘러가	372
힘입	372
잇따르	372
올려놓	364
긋	364
휘두르	363
끌려가	360
쓸	358
해내	358
튀	356
어긋나	356
메	355
닫히	355
늘어지	355
더듬	355
앞세우	355
끌어들이	355
얼	352
자라나	350
엎드리	349
업	347
달려들	347
앞장서	346
썰	346
따라오	344
인정받	344
내려놓	343
두려워하	343
붙들	342
들려주	342
논하	338
끊어지	338
꾸리	336
집어넣	335
바로잡	335
질리	334
내보내	333
튀어나오	332
살아나	331
건너가	329
채	328
끌리	328
숨지	328
끓	326
베풀	325
뛰어넘	323
퍼붓	323
부치	323
익	321
찢	320
알아내	320
덮이	320
외우	319
내쉬	318
말미암	318
흘러내리	316
힘쓰	315
찍히	314
트	314
굴리	314
털어놓	314
병들	313
넘어지	312
뽑히	310
잊히	310
끼이	309
꼽히	309
띄우	308
묶이	308
건지	308
엿보	308
부서지	306
가로막	305
헤치	303
굴	303
깨뜨리	303
속삭이	301
걸어오	300
떠나가	300
빠져나오	300
쫓겨나	300
부풀	300
비비	299
거스르	299
물러서	298
어떡하	296
뱉	296
두들기	295
딸리	295
부수	292
꺼리	292
괴롭히	291
볶	290
낫	290
앉히	289
날아오	288
들뜨	286
내려앉	285
보태	284
돌이키	281
거느리	280
알아차리	279
긁	279
모여들	278
삶	278
맺히	277
내걸	277
덜	277
돋보이	277
응하	277
몰려들	276
세	276
부추기	276
잡아먹	274
펴내	274
찢어지	274
굳어지	272
맴돌	272
식	272
가로지르	271
잠자	271
되돌리	270
건드리	270
캐	269
쓰다듬	268
면하	268
되돌아가	268
부딪히	268
지껄이	267
물들	266
범하	266
거르	266
곁들이	266
뚫리	265
타고나	265
쏠리	265
번갈	264
어리	263
문지르	262
길들이	262
스며들	261
노려보	261
조르	260
내던지	259
늘어서	259
반짝이	259
크	258
사들이	258
부러지	258
파고들	257
재	256
기뻐하	256
기울	253
몰려오	252
도망가	252
물리치	251
올라서	251
가두	250
내뱉	250
나무라	248
일깨우	248
어우러지	247
찌푸리	247
금하	247
꾀하	247
빼놓	247
뭉치	246
씌우	246
널리	246
제치	244
굽히	243
저러	243
끊기	242
비웃	241
적시	240
피어나	238
어기	238
짖	237
두드러지	237
다가서	235
임하	235
견주	234
끌어내	234
드리우	233
거들	232
가시	231
빠뜨리	230
뵈	228
깨우	228
짊어지	228
웅크리	228
끌어안	226
데려가	225
달라붙	225
찾아다니	225
되돌아오	225
꿇	225
겸하	223
되살리	223
쑤시	220
멎	219
패	219
젖히	219
굳	219
뿌리치	218
오르내리	218
읽히	217
망치	217
다하	215
꽂히	215
올려다보	214
속	214
치밀	214
춤추	213
미워하	213
매달	213
쪼개	211
더하	210
깨물	210
돋	210
마음먹	210
웃기	208
끼어들	208
비키	208
껴안	207
녹이	207
휩쓸	206
해치	206
고이	205
늦추	204
꺾이	203
따라다니	202
매기	202
얼어붙	200
뒹굴	200
되새기	200
파헤치	200
짜이	200
둘러싸이	199
미끄러지	199
잘살	198
끌어올리	198
뒤섞이	197
휩싸이	197
뛰어가	196
돌아다보	195
치솟	195
잘리	195
다다르	194
달아오르	194
푸	193
갈아입	193
치우치	193
엇갈리	193
솟구치	192
기웃거리	192
트이	192
뻗치	192
가다듬	192
얻어맞	191
자아내	191
빼내	191
졸	190
사로잡	190
주되	190
되묻	189
되살아나	189
내려지	189
뿜	188
굳히	188
읊	186
깨어지	186
일삼	186
굶주리	186
좁히	186
뒤집어쓰	185
섬기	185
부르짖	185
이	184
들여놓	184
눌리	184
보살피	184
빚어지	184
걸터앉	182
뛰어다니	182
불타	182
움켜쥐	182
까	180
나돌	180
꾸짖	179
무릅쓰	179
깨우치	178
밀려오	177
좇	177
쳐들	177
드러눕	175
머뭇거리	175
돋우	175
새우	174
흐느끼	173
꿰	173
타오르	172
꿰뚫	172
저물	172
설레	172
바래	171
끊이	171
일구	171
감기	171
내키	170
딛	170
치닫	169
돌려주	169
얹히	168
싸이	168
설치	168
괴	168
서리	167
훑	167
삼가	167
받들	166
덤벼들	166
넘어오	166
맞물리	166
잡아당기	165
주무르	165
내뿜	164
재우	164
무너뜨리	164
솟아오르	164
얽매이	164
붙잡히	163
쫓아가	163
잠그	163
꼬이	163
머금	162
튀기	162
누비	162
합하	162
시집가	161
누	161
찧	160
내쫓	160
밀려나	160
시들	160
불러오	160
헐	160
기울어지	159
늦	159
데려오	158
흐리	158
떨구	157
덩달	157
허물	156
먹히	156
꼬집	156
뒤떨어지	156
훑어보	155
얻어먹	155
우기	155
두리번거리	154
들어앉	154
밀어내	154
들추	154
앞당기	154
반기	154
들키	152
들어주	152
쏘아보	151
비틀	151
나아지	151
불러내	150
불어오	150
뛰어내리	150
울부짖	150
일그러지	150
기하	150
앞지르	150
밤새	149
몰아넣	148
욕하	148
끼얹	148
잇달	148
등지	147
올라타	145
망가지	145
통틀	145
맞대	145
외	144
빨리	144
깃들	144
넘겨주	144
투덜거리	143
꼬	143
감돌	143
이끌리	142
파묻히	141
찔리	140
찡그리	139
거슬리	139
어루만지	139
비틀거리	139
따돌리	139
덤비	139
그리워하	138
돋아나	137
덮치	137
벼르	137
밝혀내	137
물러가	137
뵙	136
뒤집히	136
벗겨지	136
뺏	135
넘나들	135
뒤잇	135
다녀가	135
붐비	135
기어들	134
가라앉히	134
휘	134
불어넣	134
밝	134
몰아내	134
불어나	133
불거지	133
빗나가	133
휩쓸리	133
뛰어오르	133
식히	133
두근거리	132
대들	132
닳	132
눕히	132
처지	132
가져다주	132
찌들	132
연잇	132
이어받	131
흘러들	131
물들이	131
스미	131
소문나	131
쪼그리	130
때우	130
디디	130
보여주	129
개	129
절	129
구부리	129
짓밟	129
달구	129
허물어지	129
조이	128
날아다니	128
건너오	128
붉히	128
홀리	127
엎어지	127
몰려가	127
놓아두	127
타이르	127
다그치	127
끄덕거리	126
부러워하	126
파내	126
슬퍼하	126
서슴	126
휘말리	125
싹트	124
곤두세우	124
저버리	124
우거지	124
늘어뜨리	124
뒤흔들	123
기리	123
뛰어나오	122
악물	122
에워싸	122
알아주	122
부풀리	122
갸웃거리	121
내비치	121
들어차	121
짓누르	120
되돌아보	120
밀려들	120
끄집어내	120
돌려보내	120
비기	120
봐주	119
도사리	119
흐트러지	119
들여오	119
퍼뜨리	118
떠맡	118
걷잡	118
눈뜨	117
들이대	117
결정짓	117
쫓아오	117
뽑아내	117
쪼	116
둘러앉	116
몰아치	116
